ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
1,亜,亞,U+4E9E,,
2,哀,哀,U+54C0,,
3,挨,挨,U+6328,,
4,愛,愛,U+611B,,
5,曖,曖,U+66D6,,
6,悪,惡,U+60E1,,
7,握,握,U+63E1,,
8,圧,壓,U+58D3,,
9,扱,扱,U+6271,U+6271 U+E0101,CID+13637
10,宛,宛,U+5B9B,,
11,嵐,嵐,U+5D50,,
12,安,安,U+5B89,,
13,案,案,U+6848,,
14,暗,暗,U+6697,U+6697 U+E0101,CID+13638
15,以,以,U+4EE5,,
16,衣,衣,U+8863,,
17,位,位,U+4F4D,,
18,囲,圍,U+570D,U+570D U+E0101,CID+13528
19,医,醫,U+91AB,,
20,依,依,U+4F9D,,
21,委,委,U+59D4,,
22,威,威,U+5A01,,
23,為,爲,U+7232,,
24,畏,畏,U+754F,,
25,胃,胃,U+80C3,,
26,尉,尉,U+5C09,,
27,異,異,U+7570,,
28,移,移,U+79FB,,
29,萎,萎,U+840E,,
30,偉,偉,U+5049,U+5049 U+E0101,CID+13409
31,椅,椅,U+6905,,
32,彙,彙,U+5F59,,
33,意,意,U+610F,U+610F U+E0101,CID+13639
34,違,違,U+9055,U+9055 U+E0102,CID+13641
35,維,維,U+7DAD,,
36,慰,慰,U+6170,,
37,遺,遺,U+907A,U+907A U+E0101,CID+13642
38,緯,緯,U+7DEF,U+7DEF U+E0101,CID+13410
39,域,域,U+57DF,,
40,育,育,U+80B2,,
41,一,一,U+4E00,,
42,壱,壹,U+58F9,,
43,逸,逸,U+FA67,,
44,茨,茨,U+8328,,
45,芋,芋,U+828B,,
46,引,引,U+5F15,,
47,印,印,U+5370,,
48,因,因,U+56E0,,
49,咽,咽,U+54BD,,
50,姻,姻,U+59FB,,
51,員,員,U+54E1,,
52,院,院,U+9662,,
53,淫,淫,U+6DEB,,
54,陰,陰,U+9670,,
55,飲,飮,U+98EE,,
56,隠,隱,U+96B1,,
57,韻,韻,U+97FB,,
58,右,右,U+53F3,,
59,宇,宇,U+5B87,,
60,羽,羽,U+FA1E,,
61,雨,雨,U+96E8,,
62,唄,唄,U+5504,,
63,鬱,鬱,U+9B31,,
